diaObjectId,days ago,sherlock,nDiaSources,psfFlux,absMag
313853533166764185,0.2,AGN,340,2729,
313967767196795001,0.2,AGN,1008,4570,
313963405132693599,0.2,AGN,1143,6446,
313853517405093892,0.2,AGN,1290,7981,
313875416837259382,0.2,AGN,1173,6716,
313853517409288214,0.2,AGN,1309,9083,
313853517410861062,0.2,AGN,1077,10462,
313875415041572882,0.2,AGN,1199,6624,
313853517416628300,0.2,AGN,1248,5287,
313875415068311567,0.2,AGN,799,14435,
313871013157273682,0.2,AGN,1187,10826,
313893021738336290,0.2,AGN,1108,8942,
313875415096098868,0.2,AGN,911,5503,
313853517430784011,0.2,AGN,918,9301,
313875415113924634,0.2,AGN,828,3190,
313853533525377135,0.2,AGN,1035,3091,
313994141012328449,0.2,AGN,550,1685,
170028500551991449,0.2,AGN,705,1,
313853517449658448,0.2,AGN,1216,4264,
170028500554088501,0.2,AGN,226,4123,
313875416102731798,0.2,AGN,946,8812,
170028517538398320,0.2,SN,193,1,
313980949159215215,0.2,AGN,972,3165,
313853533709402178,0.2,AGN,305,1874,
314003013678137685,0.2,AGN,270,3326,
170028524778815595,0.2,SN,167,1,
170028500566147168,0.2,AGN,944,1,
313853533787521055,0.2,AGN,356,2183,
313853517476397066,0.2,AGN,913,6520,
313853517478494269,0.2,AGN,879,4060,
170028510694867152,0.2,SN,570,1,
170028510695916335,0.2,SN,243,1,
170028500576108658,0.2,AGN,879,1,
313853517487407259,0.2,AGN,809,11461,
313888627079774354,0.2,SN,745,1,
170028510747295789,0.2,AGN,264,3139,
313980947898302501,0.2,AGN,312,10953,
313853517539835907,0.2,AGN,1130,7291,
313853517549273164,0.2,AGN,973,1969,
313853517564477443,0.2,AGN,69,2002,
313972182975774975,0.2,AGN,134,1516,
170028500591837299,0.2,AGN,819,1,
313853517578633281,0.2,NT,810,2531,-21.6
313998569499000903,0.2,AGN,726,3520,
313853517592265083,0.2,SN,387,2298,-21.6
313998569506865285,0.2,AGN,296,2375,
170028518053773512,0.2,SN,175,1,
313853517675102272,0.2,AGN,864,1957,
170028500607041665,0.2,AGN,642,1,
170028500608090218,0.2,AGN,1079,1,
313893021479862386,0.2,AGN,294,1,
170028500609138838,0.2,AGN,718,1,
313871014211616817,0.2,AGN,684,1893,
313853517724385293,0.2,AGN,946,2933,
170028500614381744,0.2,AGN,574,1,
170226393614385228,0.2,AGN,41,4280,
170226393749651522,0.2,AGN,56,3351,
313928194419327089,0.2,AGN,901,1,
170235204184047761,0.2,AGN,12,1,
170028510473093221,0.2,AGN,582,4259,
313893021507649553,0.2,AGN,248,2326,
313853517941440592,0.2,AGN,795,2177,
170028510499307677,0.2,AGN,804,1,
170028512399851695,0.2,AGN,172,2958,
313853532976447655,0.2,AGN,728,1,
313888627034685592,0.2,AGN,396,1,
170028510518181998,0.2,AGN,445,1,
313998569927868456,0.2,AGN,904,4077,
170028511216009372,0.2,SN,990,1,
313998569946218634,0.2,AGN,488,2350,
313972184048992370,0.2,AGN,763,1,
170046096172646690,0.2,SN,25,1,
313853533062955087,0.2,AGN,443,3391,
313871015699021854,0.2,AGN,687,1879,
170046101634678860,0.2,AGN,103,2340,
313875416831492192,0.2,AGN,864,6071,
170028510539153513,0.2,AGN,880,1,
170028510541250674,0.2,AGN,931,1,
313853517399326846,0.2,AGN,1001,2033,
313853517414006889,0.2,AGN,693,3468,
313853517417676886,0.2,AGN,485,3428,
313875415064117265,0.2,AGN,385,2179,
313853517419774068,0.2,AGN,1256,5077,
170028521921445983,0.2,AGN,126,3888,
170032902234439823,0.2,AGN,94,2392,
313875415162683393,0.2,AGN,1075,6206,
313888627062472856,0.2,AGN,360,1927,
313853533537435732,0.2,AGN,968,3332,
313853533548970126,0.2,AGN,812,1,
313853533562601611,0.2,AGN,961,1,
170028524454805548,0.2,AGN,23,6298,
170028500553564296,0.2,SN,908,1,
313853533641768997,0.2,AGN,760,2121,
313875416107450387,0.2,AGN,695,3092,
170028500555661437,0.2,AGN,1114,1,
313853517458047035,0.2,AGN,892,2644,
313875416176132104,0.2,AGN,96,3153,
314007379921338504,0.2,AGN,220,3030,
313875416769101840,0.2,AGN,260,5107,
313888627220283495,0.2,AGN,166,3182,
313853517473251419,0.2,AGN,991,2523,
313853517476397183,0.2,AGN,623,1722,
313888627228672117,0.2,AGN,337,2227,
313875416778539137,0.2,SN,648,1,
170019716312596581,0.2,AGN,137,2079,
170028500582924412,0.2,NT,1052,1,
170019716323082348,0.2,SN,1054,6159,-22.2
314003013962301606,0.2,AGN,1022,1,
313871014052757612,0.2,AGN,730,1834,
170028500591837302,0.2,SN,815,1,
313853517577060480,0.2,AGN,826,1,
170028500594458774,0.2,AGN,825,1,
170028500595507351,0.2,AGN,766,1,
313853517588070403,0.2,AGN,1146,9474,
170028500597080197,0.2,AGN,737,1,
313853517602226325,0.2,AGN,1186,4720,
313853517668810790,0.2,SN,946,4895,-22.2
313893021468327946,0.2,SN,128,959,
170028518135038570,0.2,SN,43,1,
170028510899339386,0.2,SN,707,1,
170028516433199279,0.2,SN,81,1,
170028500612284536,0.2,AGN,1008,1,
170028518293373042,0.2,SN,81,1,
170028500623294588,0.2,AGN,839,2731,
170028500624343155,0.2,SN,890,1,
313853517842350166,0.2,AGN,959,2003,
170046091311972440,0.2,AGN,78,2301,
313871014364184592,0.2,AGN,777,2474,
313875416812617753,0.2,AGN,428,2470,
313875416813142054,0.2,AGN,318,2312,
170046091691032676,0.2,AGN,34,11465,
170046091702566947,0.2,AGN,87,4160,
170261582935228429,0.2,SN,23,5366,-17.0
170296772271800338,0.2,NT,10,2522,-18.2
170032906556670695,0.2,SN,45,1,
170028520561442863,0.2,AGN,121,3581,
170028510508744826,0.2,AGN,1070,1,
313875416819957922,0.2,AGN,473,2999,
170032907062083790,0.2,SN,21,1,
313875416822055048,0.2,AGN,39,931,
170046093715308657,0.2,AGN,49,1303,
313853533016293461,0.2,AGN,152,2821,
170028510523949189,0.2,SN,541,1,
170028510523949197,0.2,AGN,1089,1,
313871013108514818,0.2,AGN,905,2214,
170028516826939482,0.2,SN,219,1,
313871013112709132,0.2,AGN,364,1636,
170028516870979606,0.2,AGN,202,5269,
313871013118476319,0.2,AGN,607,2621,
170028510538104982,0.2,AGN,835,1,
313888627043074149,0.2,AGN,898,1,
313967767084597282,0.2,AGN,369,12842,
